entrance,drink,possible,painting,suggestion,boil,intrude,leg,excuse,appointment,science,invented,cat,dog
015107,百嘉百顺纯债债券C,BJBSCZZQC,169.291189,0.7858,4,2022-03-04,1,1,2022-11-03,1.8981,2.6839,2022-03-04,1
015106,百嘉百顺纯债债券A,BJBSCZZQA,166.855207,0.7755,4,2022-03-04,1,1,2022-11-03,1.8836,2.6591,2022-03-04,1
007189,南华价值启航纯债债券A,NHJZQHCZZQA,144.8562,0.04,1,2021-11-04,1.0272,1.0572,2022-11-03,2.4191,2.4891,2019-11-22,4
007190,南华价值启航纯债债券C,NHJZQHCZZQC,144.2182,0.04,1,2021-11-04,1.0431,1.0731,2022-11-03,2.4515,2.5215,2019-11-22,4
162411,华宝标普油气上游股票人民币A,HBBPYQSYGPRMBA,63.6346,,0,,,,,,,2011-09-29,1
007844,华宝标普油气上游股票人民币C,HBBPYQSYGPRMBC,62.4975,,0,,,,,,,2020-01-15,1
519212,万家宏观择时多策略混合,WJHGZSDCLHH,62.1858,,0,2021-11-04,1.1895,1.1895,2022-11-03,1.9292,1.9292,2017-03-30,1
159985,华夏饲料豆粕期货ETF,HXSLDPQHETF,59.3769,,0,2021-11-04,1.1427,1.1427,2022-11-03,1.8212,1.8212,2019-09-24,
519191,万家新利灵活配置混合,WJXLLHPZHH,56.0240,,0,2021-11-04,0.9819,1.3445,2022-11-03,1.532,1.8946,2014-01-24,1
007937,华夏饲料豆粕期货ETF联接A,HXSLDPQHETFLJA,53.7163,,0,2021-11-04,1.114,1.114,2022-11-03,1.7124,1.7124,2020-01-13,1
007938,华夏饲料豆粕期货ETF联接C,HXSLDPQHETFLJC,53.2629,,0,2021-11-04,1.1079,1.1079,2022-11-03,1.698,1.698,2020-01-13,4
008652,长城中债1-3年政金债A,CCZZ13NZJZA,51.4929,0.2174,3,2021-11-04,1.017,1.017,2022-11-03,1.3231,1.5405,2020-08-11,1
008653,长城中债1-3年政金债C,CCZZ13NZJZC,51.4707,,0,2021-11-04,1.0165,1.0165,2022-11-03,1.5397,1.5397,2020-08-11,6
004685,金元顺安元启灵活配置混合,JYSAYQLHPZHH,51.4379,,0,2021-11-04,2.2151,2.2151,2022-11-03,3.3545,3.3545,2017-11-14,4
519185,万家精选混合A,WJJXHHA,49.2349,,0,2021-11-04,0.9737,2.22,2022-11-03,1.4531,2.6994,2009-05-18,1
001481,华宝标普油气上游股票美元A,HBBPYQSYGPMYA,44.4444,,0,,,,,,,2015-06-18,
005513,南华瑞恒中短债债券A,NHRHZDZZQA,43.1543,0.283,5,2021-11-04,1.0216,1.0216,2022-11-03,1.1785,1.4615,2019-01-29,4
005514,南华瑞恒中短债债券C,NHRHZDZZQC,42.8206,0.283,5,2021-11-04,1.0236,1.0236,2022-11-03,1.1781,1.4611,2019-01-29,4
970085,国联汇富债券C,GLHFZQC,39.7921,,0,2021-11-04,1.0007,1.0007,2022-11-03,1.3989,1.3989,2021-10-29,
015773,招商移动互联网产业股票基金C,ZSYDHLWCYGPJJC,32.493114,,0,2022-05-13,1.1981,1.1981,2022-11-03,1.5874,1.5874,2022-05-13,1
012928,银华中证光伏ETF发起式联接A,YHZZGFETFFQSLJA,32.12,,0,2022-04-20,1,1,2022-11-03,1.3212,1.3212,2022-04-20,1
012929,银华中证光伏ETF发起式联接C,YHZZGFETFFQSLJC,31.95,,0,2022-04-20,1,1,2022-11-03,1.3195,1.3195,2022-04-20,1
002938,中银证券健康产业混合,ZYZQJKCYHH,30.6753,,0,2021-11-04,1.9325,1.9325,2022-11-03,2.5253,2.5253,2016-09-07,1
001678,英大国企改革主题股票,YDGQGGZTGP,28.6438,0.35,1,2021-11-04,1.5858,1.8858,2022-11-03,1.5663,2.2163,2018-11-22,1
014263,鑫元长三角混合A,XYCSJHHA,27.95,,0,2022-03-30,1,1,2022-11-03,1.2795,1.2795,2022-03-30,1
014264,鑫元长三角混合C,XYCSJHHC,27.64,,0,2022-03-30,1,1,2022-11-03,1.2764,1.2764,2022-03-30,1
014854,嘉实中证半导体指数增强发起式A,JSZZBDTZSZQFQSA,26.72,,0,2022-04-22,1,1,2022-11-03,1.2672,1.2672,2022-04-22,1
003406,南方多元定开债券,NFDYDKZQ,26.6425,0.258,8,2021-11-04,1.2488,1.4095,2022-11-03,1.2598,1.6785,2016-09-29,6
014855,嘉实中证半导体指数增强发起式C,JSZZBDTZSZQFQSC,26.56,,0,2022-04-22,1,1,2022-11-03,1.2656,1.2656,2022-04-22,1
159930,汇添富中证能源ETF,HTFZZNYETF,26.1872,,0,2021-11-04,0.8844,0.8844,2022-11-03,1.116,1.116,2013-08-23,
159618,华安中证光伏产业ETF,HAZZGFCYETF,26.15,,0,2022-04-08,1,1,2022-11-03,1.2615,1.2615,2022-04-08,
