序号,基金代码,基金简称,期间涨幅,期间分红(元/份),分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,手续费
1,015107,百嘉百顺纯债债券,169.07%,0.6881,3,2022-03-04,1.0000,1.0000,2022-10-17,1.9942,2.6823,2022-03-04,0.00%
2,015106,百嘉百顺纯债债券,166.61%,0.6786,3,2022-03-04,1.0000,1.0000,2022-10-17,1.9787,2.6573,2022-03-04,0.08%
3,007189,南华价值启航纯债,145.46%,0.0400,1,2021-10-18,1.0238,1.0538,2022-10-17,2.4170,2.4870,2019-11-22,--
4,007190,南华价值启航纯债,144.79%,0.0400,1,2021-10-18,1.0398,1.0698,2022-10-17,2.4495,2.5195,2019-11-22,0.00%
5,519212,万家宏观择时多策,53.84%,---,0,2021-10-18,1.3697,1.3697,2022-10-17,2.1072,2.1072,2017-03-30,0.15%
6,008652,长城中债1-3年,51.58%,0.0760,1,2021-10-18,1.0159,1.0159,2022-10-17,1.4638,1.5398,2020-08-11,0.04%
7,008653,长城中债1-3年,51.58%,---,0,2021-10-18,1.0154,1.0154,2022-10-17,1.5391,1.5391,2020-08-11,0.00%
8,159985,华夏饲料豆粕期货,50.29%,---,0,2021-10-18,1.1870,1.1870,2022-10-17,1.7839,1.7839,2019-09-24,--
9,519191,万家新利灵活配置,47.82%,---,0,2021-10-18,1.1322,1.4948,2022-10-17,1.6736,2.0362,2014-01-24,0.06%
10,007937,华夏饲料豆粕期货,45.70%,---,0,2021-10-18,1.1547,1.1547,2022-10-17,1.6824,1.6824,2020-01-13,0.06%
11,004685,金元顺安元启灵活,45.39%,---,0,2021-10-18,2.2936,2.2936,2022-10-17,3.3347,3.3347,2017-11-14,0.15%
12,007938,华夏饲料豆粕期货,45.28%,---,0,2021-10-18,1.1485,1.1485,2022-10-17,1.6685,1.6685,2020-01-13,0.00%
13,005513,南华瑞恒中短债债,42.86%,0.2310,4,2021-10-18,1.0232,1.0232,2022-10-17,1.2299,1.4609,2019-01-29,0.04%
14,005514,南华瑞恒中短债债,42.51%,0.2310,4,2021-10-18,1.0254,1.0254,2022-10-17,1.2296,1.4606,2019-01-29,0.00%
15,519185,万家精选混合A,41.64%,---,0,2021-10-18,1.1245,2.3708,2022-10-17,1.5927,2.8390,2009-05-18,0.15%
16,970085,国联汇富债券C,39.66%,---,0,2021-10-29,1.0000,1.0000,2022-10-17,1.3966,1.3966,2021-10-29,--
17,012928,银华中证光伏ET,31.05%,---,0,2022-04-20,1.0000,1.0000,2022-10-17,1.3105,1.3105,2022-04-20,0.12%
18,012929,银华中证光伏ET,30.89%,---,0,2022-04-20,1.0000,1.0000,2022-10-17,1.3089,1.3089,2022-04-20,0.00%
19,014807,泰达宏利景气智选,27.93%,---,0,2022-03-29,1.0000,1.0000,2022-10-17,1.2793,1.2793,2022-03-29,0.15%
20,005851,财通新视野灵活配,27.74%,---,0,2021-10-18,1.5756,1.5756,2022-10-17,2.0127,2.0127,2018-06-25,0.15%
21,014808,泰达宏利景气智选,27.72%,---,0,2022-03-29,1.0000,1.0000,2022-10-17,1.2772,1.2772,2022-03-29,0.00%
22,501015,财通多策略升级混,27.62%,---,0,2021-10-18,0.9630,0.9630,2022-10-17,1.2290,1.2290,2016-03-09,0.15%
23,003406,南方多元定开债券,27.15%,0.2852,9,2021-10-18,1.2699,1.4034,2022-10-17,1.2587,1.6774,2016-09-29,0.08%
24,005959,财通新视野灵活配,26.74%,---,0,2021-10-18,1.5342,1.5342,2022-10-17,1.9444,1.9444,2018-06-25,0.00%
25,014263,鑫元长三角混合A,26.45%,---,0,2022-03-30,1.0000,1.0000,2022-10-17,1.2645,1.2645,2022-03-30,0.12%
26,014264,鑫元长三角混合C,26.17%,---,0,2022-03-30,1.0000,1.0000,2022-10-17,1.2617,1.2617,2022-03-30,0.00%
27,015566,万家精选混合C,25.03%,---,0,2022-04-25,1.2707,1.2707,2022-10-17,1.5887,1.5887,2022-04-25,0.00%
28,159618,华安中证光伏产业,25.00%,---,0,2022-04-08,1.0000,1.0000,2022-10-17,1.2500,1.2500,2022-04-08,--
29,014647,融通先进制造混合,23.49%,---,0,2022-02-22,1.0000,1.0000,2022-10-17,1.2349,1.2349,2022-02-22,0.15%
30,001678,英大国企改革主题,23.29%,0.3500,1,2021-10-18,1.6685,1.9685,2022-10-17,1.5794,2.2294,2018-11-22,0.15%
31,014648,融通先进制造混合,23.06%,---,0,2022-02-22,1.0000,1.0000,2022-10-17,1.2306,1.2306,2022-02-22,0.00%
32,013851,中信建投低碳成长,21.91%,---,0,2021-12-13,1.0000,1.0000,2022-10-17,1.2191,1.2191,2021-12-13,0.15%
33,013852,中信建投低碳成长,21.51%,---,0,2021-12-13,1.0000,1.0000,2022-10-17,1.2151,1.2151,2021-12-13,0.00%
34,014191,广发先进制造股票,21.30%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.2130,1.2130,2022-03-01,0.15%
35,014192,广发先进制造股票,21.00%,---,0,2022-03-01,1.0000,1.0000,2022-10-17,1.2100,1.2100,2022-03-01,0.00%
36,015561,长城双动力混合C,20.52%,---,0,2022-04-15,1.2631,1.2631,2022-10-17,1.5223,1.5223,2022-04-15,0.00%
